aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user,,
30,0.09596696,0.675088801,0.120202118,0.108742121,Attack Helicopter,,
31,0.099179334,0.66389668,0.124564321,0.112359665,Attack Helicopter,,
32,0.146685036,0.075000806,0.512015768,0.26629839,manymagpie,,
33,0.150724134,0.137163763,0.173340744,0.53877136,moonmoth,,
34,0.200342716,0.457188771,0.219486164,0.12298235,Attack Helicopter,,
35,0.098657985,0.48362076,0.10696388,0.310757376,Attack Helicopter,,
36,0.121680211,0.370124093,0.144811569,0.363384127,Attack Helicopter,,
37,0.070701183,0.26825205,0.084642799,0.576403967,Attack Helicopter,,
38,0.100414435,0.485716742,0.107121733,0.306747091,Attack Helicopter,,
39,0.082892096,0.325351609,0.085417178,0.506339116,Attack Helicopter,,
40,0.082663116,0.436612525,0.090625054,0.390099305,moonmoth,,
41,0.730965674,0.079378755,0.114042707,0.075612863,Borys Lang,,
42,0.054827768,0.293336296,0.452297913,0.199538024,manymagpie,,
43,0.544002921,0.154736017,0.107897735,0.193363327,Borys Lang,,
44,0.075125633,0.339454934,0.367132564,0.218286869,Attack Helicopter,,
45,0.532935803,0.158322197,0.197156044,0.111585956,Borys Lang,,
46,0.210395354,0.223117528,0.439635128,0.12685199,manymagpie,,
47,0.060869963,0.316143972,0.089139378,0.533846687,Attack Helicopter,,
48,0.352351804,0.273037019,0.127815973,0.246795204,Borys Lang,,
49,0.229870678,0.147171724,0.472162883,0.150794714,manymagpie,,
50,0.146638279,0.558253314,0.099084677,0.196023729,Attack Helicopter,,
51,0.406012607,0.081741301,0.313251648,0.198994444,Borys Lang,,
52,0.295917829,0.078680866,0.476165461,0.149235845,manymagpie,,
53,0.332796415,0.314803659,0.131078947,0.221320978,Attack Helicopter,,
54,0.172277791,0.466727111,0.227696581,0.133298517,manymagpie,,
55,0.34284435,0.16265816,0.168825835,0.325671655,Borys Lang,,
56,0.125255778,0.297070189,0.410184428,0.167489605,manymagpie,,
57,0.345500531,0.230745546,0.274911156,0.148842766,Borys Lang,,
58,0.295701782,0.306269222,0.23856855,0.159460446,Borys Lang,,
59,0.29909949,0.198549661,0.382154254,0.120196595,Borys Lang,,
60,0.149396763,0.605463558,0.145947138,0.099192541,Attack Helicopter,,
61,0.241002522,0.118820476,0.485651742,0.15452526,manymagpie,,
62,0.119932104,0.561555509,0.102147833,0.216364554,Attack Helicopter,,
63,0.394899643,0.113248971,0.151754416,0.340096971,Borys Lang,,
64,0.264740615,0.344683615,0.215375329,0.175200441,Attack Helicopter,,
65,0.250626839,0.280882332,0.07926224,0.38922859,Attack Helicopter,,
66,0.314961692,0.169462489,0.171114697,0.344461121,moonmoth,,
67,0.202993203,0.135066992,0.376821197,0.285118608,manymagpie,,
68,0.175082892,0.566764495,0.116319055,0.141833557,Attack Helicopter,,
69,0.432948169,0.16448385,0.162270734,0.240297247,Borys Lang,,
70,0.34939479,0.076217209,0.215505233,0.358882768,Borys Lang,,
71,0.225056315,0.367776645,0.143266787,0.263900253,Attack Helicopter,,
aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user,,
0,1,0,0,0,Borys Lang,,
1,0.287526783,0.712473217,0,0,Attack Helicopter,,
2,0.625102031,0.374897969,0,0,Borys Lang,,
3,0.239963971,0.760036029,0,0,Attack Helicopter,,
4,0.690200352,0.309799648,0,0,Borys Lang,,
5,0.265441271,0.195311837,0.539246892,0,manymagpie,,
6,0.280074946,0.573567145,0.146357908,0,Attack Helicopter,,
7,0.38444416,0.514597754,0.100958085,0,Borys Lang,,
8,0.165228337,0.517424132,0.317347531,0,Attack Helicopter,,
9,0.518776316,0.263458352,0.217765332,0,Borys Lang,,
10,0.313717417,0.538761828,0.147520755,0,Attack Helicopter,,
11,0.157832736,0.319862039,0.522305225,0,manymagpie,,
12,0.303413607,0.214363104,0.482223289,0,manymagpie,,
13,0.699951186,0.169699724,0.13034909,0,Borys Lang,,
14,0.102115126,0.26952343,0.628361444,0,manymagpie,,
15,0.535006935,0.326106131,0.138886934,0,Borys Lang,,
16,0.145448239,0.525954201,0.32859756,0,manymagpie,,
17,0.424343783,0.262007147,0.31364907,0,Borys Lang,,
18,0.149378148,0.718049484,0.132572368,0,Attack Helicopter,,
19,0.522442313,0.078456652,0.399101035,0,manymagpie,,
20,0.202711649,0.571478287,0.225810064,0,Attack Helicopter,,
21,0.422887269,0.174531122,0.40258161,0,Borys Lang,,
22,0.21498415,0.112185711,0.214651533,0.458178606,moonmoth,,
23,0.462372809,0.24976844,0.199290953,0.088567798,Attack Helicopter,,
24,0.254816994,0.318380174,0.333186863,0.093615969,manymagpie,,
25,0.219988168,0.282743875,0.396609427,0.10065853,manymagpie,,
26,0.259856397,0.399525558,0.128365278,0.212252767,Attack Helicopter,,
27,0.44451953,0.241091738,0.107966287,0.206422445,Borys Lang,,
28,0.108052647,0.360734525,0.422042065,0.109170763,Attack Helicopter,,
