nonself,,,,,,,
aiA,User1,User2,User3,user,,,
47,0.329003,0.48674,0.184257,Borys Lang,,,
48,0.567255,0.280736,0.152009,Attack Helicopter,,,
49,0.320924,0.326251,0.352826,manymagpie,,,
50,0.51256,0.302672,0.184768,Attack Helicopter,,,
51,0.535608,0.297844,0.166547,manymagpie,,,
52,0.313587,0.296318,0.390095,Attack Helicopter,,,
53,0.298461,0.513982,0.187557,manymagpie,,,
54,0.284183,0.485297,0.23052,Borys Lang,,,
55,0.145153,0.306631,0.548216,Attack Helicopter,,,
56,0.562381,0.164603,0.273017,manymagpie,,,
57,0.110254,0.561115,0.328632,Attack Helicopter,,,
58,0.112561,0.641744,0.245695,Attack Helicopter,,,
59,0.122277,0.628964,0.248759,Attack Helicopter,,,
60,0.274939,0.503695,0.221366,Borys Lang,,,
61,0.559344,0.321297,0.119359,Borys Lang,,,
62,0.368354,0.500634,0.131012,manymagpie,,,
63,0.289252,0.53578,0.174968,Attack Helicopter,,,
64,0.435581,0.315152,0.249267,manymagpie,,,
65,0.446361,0.375073,0.178566,Borys Lang,,,
66,0.245734,0.391348,0.362919,Attack Helicopter,,,
67,0.309117,0.513634,0.177249,Borys Lang,,,
68,0.372652,0.385671,0.241677,Borys Lang,,,
69,0.288283,0.489171,0.222547,Attack Helicopter,,,
70,0.242044,0.537178,0.220778,moonmoth,,,
71,0.36907,0.387386,0.243544,manymagpie,,,
72,0.165074,0.079743,0.755183,Attack Helicopter,,,
73,0.655677,0.173311,0.171012,Attack Helicopter,,,
74,0.359189,0.478199,0.162611,manymagpie,,,
75,0.35799,0.432751,0.209258,Borys Lang,,,
76,0.27041,0.179991,0.549599,manymagpie,,,
77,0.645023,0.159422,0.195555,manymagpie,,,
78,0.105085,0.205228,0.689687,Attack Helicopter,,,
79,0.536166,0.173981,0.289853,Borys Lang,,,
80,0.338324,0.364957,0.296719,manymagpie,,,
81,0.335306,0.381288,0.283406,manymagpie,,,
82,0.274588,0.511018,0.214394,Borys Lang,,,
83,0.066872,0.05269,0.880437,Attack Helicopter,,,
84,0.390381,0.13145,0.478169,manymagpie,,,
85,0.681838,0.181588,0.136573,Attack Helicopter,,,
86,0.747857,0.143293,0.10885,Borys Lang,,,
87,0.286001,0.311398,0.402601,moonmoth,,,
88,0.447777,0.232284,0.31994,Borys Lang,,,
89,0.227883,0.14648,0.625638,manymagpie,,,
90,0.303035,0.234703,0.462262,moonmoth,,,
91,0.156589,0.504275,0.339136,Attack Helicopter,,,
92,0.344926,0.400753,0.254321,Borys Lang,,,
93,0.286646,0.523297,0.190058,manymagpie,,,
94,0.29534,0.453778,0.250883,Borys Lang,,,
95,0.48864,0.196043,0.315318,manymagpie,,,
96,0.280803,0.558093,0.161104,Borys Lang,,,
97,0.535118,0.258516,0.206366,moonmoth,,,
98,0.402397,0.392661,0.204942,Borys Lang,,,
ketchup_vs_mustardA,User1,User2,User3,user,,,
0,0.333333,0.333333,0.333333,Attack Helicopter,,,
1,0.333333,0.333333,0.333333,Attack Helicopter,,,
2,1,0,0,Borys Lang,,,
3,1,0,0,Attack Helicopter,,,
4,0.519974,0.480026,0,manymagpie,,,
5,0.291687,0.708313,0,Borys Lang,,,
6,0.449345,0.550655,0,Attack Helicopter,,,
7,0.56908,0.43092,0,manymagpie,,,
8,0.382163,0.617837,0,manymagpie,,,
9,0.30027,0.69973,0,Borys Lang,,,
10,0.757112,0.242888,0,manymagpie,,,
11,0.169062,0.695683,0.135255,moonmoth,,,
12,0.650051,0.185111,0.164838,manymagpie,,,
13,0.353599,0.346791,0.29961,manymagpie,,,
14,0.317085,0.44476,0.238155,Attack Helicopter,,,
15,0.312815,0.384933,0.302251,Borys Lang,,,
16,0.447742,0.332508,0.21975,manymagpie,,,
17,0.499509,0.28898,0.211511,Attack Helicopter,,,
18,0.368079,0.395035,0.236887,manymagpie,,,
19,0.472544,0.314809,0.212647,manymagpie,,,
20,0.293175,0.460545,0.24628,Attack Helicopter,,,
21,0.178262,0.29883,0.522908,Borys Lang,,,
22,0.111255,0.717414,0.171331,Attack Helicopter,,,
23,0.210519,0.23061,0.558871,Borys Lang,,,
24,0.22143,0.52905,0.24952,moonmoth,,,
25,0.21549,0.260626,0.523883,Borys Lang,,,
26,0.453544,0.294963,0.251493,Attack Helicopter,,,
27,0.211077,0.607433,0.181489,Attack Helicopter,,,
