self,,,,,,,
aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user,,
20,0.541699581,0.217586112,0.094194832,0.146519475,Attack Helicopter,,
21,0.116634568,0.493619182,0.144752101,0.244994149,Borys Lang,,
22,0.478155905,0.153581753,0.140785526,0.227476816,Attack Helicopter,,
23,0.402352858,0.094499145,0.353414793,0.149733204,manymagpie,,
24,0.144786589,0.518950788,0.177813445,0.158449178,Borys Lang,,
25,0.629762232,0.096114395,0.141504282,0.132619092,Attack Helicopter,,
26,0.266809324,0.477059449,0.131039037,0.12509219,Borys Lang,,
27,0.498143583,0.265883483,0.125413689,0.110559245,Attack Helicopter,,
28,0.415962132,0.40520131,0.091665743,0.087170815,Attack Helicopter,,
29,0.131563466,0.194877583,0.434544222,0.239014729,manymagpie,,
30,0.15439485,0.239482654,0.439279719,0.166842776,manymagpie,,
31,0.307599877,0.412979854,0.17848914,0.10093113,Borys Lang,,
32,0.097759392,0.368041083,0.271221022,0.262978503,Borys Lang,,
33,0.406216286,0.177818009,0.303102997,0.112862707,Attack Helicopter,,
34,0.215802264,0.128993907,0.155450485,0.499753344,moonmoth,,
35,0.334362837,0.365657938,0.1492551,0.150724124,Borys Lang,,
36,0.582315468,0.178676143,0.130385614,0.108622775,Attack Helicopter,,
37,0.533885021,0.129768762,0.207231202,0.129115015,Attack Helicopter,,
38,0.122731303,0.440222371,0.311427908,0.125618418,Borys Lang,,
39,0.101882025,0.085983701,0.693140064,0.11899421,manymagpie,,
40,0.6256393,0.193595941,0.062784145,0.117980614,Attack Helicopter,,
41,0.117413018,0.291462926,0.426572364,0.164551692,manymagpie,,
42,0.373352255,0.17968013,0.29411759,0.152850026,Attack Helicopter,,
43,0.124926345,0.668783537,0.109281281,0.097008837,Borys Lang,,
44,0.165925853,0.432949509,0.287294664,0.113829974,Borys Lang,,
45,0.183372813,0.124871127,0.490815729,0.200940331,manymagpie,,
46,0.561730427,0.14620578,0.16579056,0.126273233,Attack Helicopter,,
47,0.121922854,0.42363154,0.263391056,0.19105455,Borys Lang,,
48,0.488587244,0.212397066,0.134291768,0.164723921,Attack Helicopter,,
49,0.171165541,0.205490414,0.48127567,0.142068375,manymagpie,,
50,0.483417661,0.208198269,0.192750953,0.115633117,Attack Helicopter,,
51,0.244505407,0.190991179,0.439967269,0.124536145,manymagpie,,
52,0.475945944,0.19601693,0.173235998,0.154801128,Attack Helicopter,,
53,0.352156524,0.128804841,0.40651728,0.112521355,manymagpie,,
54,0.088436601,0.73264791,0.092208882,0.086706607,Borys Lang,,
55,0.519410313,0.05612267,0.269896496,0.154570521,Attack Helicopter,,
56,0.395560816,0.042278186,0.403501652,0.158659345,manymagpie,,
57,0.418177731,0.043880055,0.416862107,0.121080107,Attack Helicopter,,
58,0.459367557,0.043811021,0.362801721,0.134019701,Attack Helicopter,,
59,0.503958388,0.049719968,0.303122951,0.143198693,Attack Helicopter,,
60,0.133392772,0.435760439,0.267969844,0.162876944,Borys Lang,,
61,0.358583624,0.339697136,0.205840149,0.095879091,Borys Lang,,
62,0.225238023,0.331414346,0.327783958,0.115563672,manymagpie,,
63,0.347756435,0.197164037,0.322348954,0.132730575,Attack Helicopter,,
64,0.223675606,0.137696136,0.486053314,0.152574943,manymagpie,,
65,0.278886717,0.409335082,0.190850708,0.120927494,Borys Lang,,
66,0.333474491,0.176852833,0.404391376,0.0852813,Attack Helicopter,,
67,0.178707961,0.423166247,0.26207317,0.136052622,Borys Lang,,
68,0.185266074,0.48611995,0.172942554,0.155671422,Borys Lang,,
69,0.474841505,0.174532372,0.242723906,0.107902217,Attack Helicopter,,
70,0.134609043,0.28135649,0.111216856,0.472817611,moonmoth,,
71,0.26559952,0.164506844,0.45487243,0.115021207,manymagpie,,
72,0.2836683,0.171954112,0.068638496,0.475739092,Attack Helicopter,,
73,0.247068425,0.544837395,0.090249558,0.117844623,Attack Helicopter,,
74,0.302553713,0.26210281,0.326795691,0.108547787,manymagpie,,
75,0.192544194,0.487750438,0.205761191,0.113944177,Borys Lang,,
76,0.143616784,0.084830441,0.508200169,0.263352607,manymagpie,,
77,0.489137567,0.115790415,0.278373093,0.116698925,manymagpie,,
78,0.382457418,0.093470751,0.19816905,0.325902781,Attack Helicopter,,
79,0.299931581,0.280942407,0.176227573,0.242898439,Borys Lang,,
80,0.136219187,0.159734466,0.570490657,0.133555691,manymagpie,,
81,0.16172448,0.166718201,0.539540598,0.132016721,manymagpie,,
82,0.176355571,0.501859572,0.190054834,0.131730023,Borys Lang,,
83,0.357470913,0.105380258,0.088141245,0.449007583,Attack Helicopter,,
84,0.383948967,0.088789959,0.28942199,0.237839083,manymagpie,,
85,0.454219325,0.13189722,0.207770107,0.206113348,Attack Helicopter,,
86,0.303413574,0.377034019,0.172152804,0.147399602,Borys Lang,,
87,0.218404614,0.171356078,0.272598308,0.337641,moonmoth,,
88,0.316725619,0.37092649,0.127196145,0.185151747,Borys Lang,,
89,0.167786614,0.117443783,0.295886041,0.418883561,manymagpie,,
90,0.141545744,0.114484075,0.216064465,0.527905716,moonmoth,,
91,0.303127533,0.098388017,0.448137299,0.150347151,Attack Helicopter,,
92,0.168993402,0.513887587,0.207672367,0.109446644,Borys Lang,,
93,0.129068827,0.425862426,0.366657406,0.078411341,manymagpie,,
94,0.093745897,0.69156024,0.137884252,0.076809611,Borys Lang,,
95,0.23442827,0.097169796,0.536140643,0.132261291,manymagpie,,
96,0.234320599,0.344089514,0.32081967,0.100770216,Borys Lang,,
97,0.256044493,0.150222257,0.114989686,0.478743564,moonmoth,,
98,0.248784022,0.379718701,0.250995909,0.120501368,Borys Lang,,
ketchup_vs_mustardA,Attack Helicopter,Borys Lang,manymagpie,moonmoth,user,,
0,1,0,0,0,Attack Helicopter,,
1,1,0,0,0,Attack Helicopter,,
2,0.123691009,0.876308991,0,0,Borys Lang,,
3,0.866435162,0.133564838,0,0,Attack Helicopter,,
4,0.198994116,0.180726921,0.620278963,0,manymagpie,,
5,0.120426216,0.596846962,0.282726822,0,Borys Lang,,
6,0.416902079,0.30806582,0.275032102,0,Attack Helicopter,,
7,0.232334448,0.171946266,0.595719286,0,manymagpie,,
8,0.213533512,0.345118681,0.441347807,0,manymagpie,,
9,0.15603186,0.475720138,0.368248001,0,Borys Lang,,
10,0.444490693,0.114667782,0.440841525,0,manymagpie,,
11,0.122610159,0.429266391,0.095723335,0.352400115,moonmoth,,
12,0.668018045,0.069002273,0.196747976,0.066231707,manymagpie,,
13,0.216316501,0.228587718,0.345935939,0.209159843,manymagpie,,
14,0.375947968,0.169461564,0.309365812,0.145224656,Attack Helicopter,,
15,0.304377225,0.377180604,0.185135589,0.133306582,Borys Lang,,
16,0.287706902,0.176756245,0.413995523,0.12154133,manymagpie,,
17,0.362254633,0.235565773,0.239277223,0.16290237,Attack Helicopter,,
18,0.249879773,0.179800867,0.352952066,0.217367294,manymagpie,,
19,0.271595305,0.165471352,0.435708417,0.127224927,manymagpie,,
20,0.603446866,0.114025509,0.187234684,0.09529294,Attack Helicopter,,
21,0.078053759,0.663638254,0.115864072,0.142443914,Borys Lang,,
22,0.340667549,0.056337375,0.513679831,0.089315244,Attack Helicopter,,
23,0.15544867,0.455316725,0.168078962,0.221155642,Borys Lang,,
24,0.10908719,0.277282511,0.113613005,0.500017294,moonmoth,,
25,0.126081808,0.478978811,0.13116595,0.263773431,Borys Lang,,
26,0.445863683,0.181690712,0.19669627,0.175749336,Attack Helicopter,,
27,0.481513746,0.102993961,0.330313345,0.085178948,Attack Helicopter,,
28,0.404484407,0.061251081,0.229376242,0.304888269,moonmoth,,
29,0.153779744,0.343409176,0.331114761,0.171696318,Borys Lang,,
30,0.250057069,0.224571112,0.358965523,0.166406295,Attack Helicopter,,
31,0.182324811,0.232536961,0.458595991,0.126542238,manymagpie,,
32,0.267597628,0.329226472,0.262523359,0.140652541,manymagpie,,
33,0.131235696,0.614425037,0.144612738,0.109726529,Borys Lang,,
34,0.397077262,0.069273881,0.330151488,0.203497369,manymagpie,,
35,0.179053353,0.300913091,0.136162451,0.383871105,Borys Lang,,
36,0.12603428,0.369689412,0.221439352,0.282836956,manymagpie,,
37,0.120931956,0.231231408,0.389147967,0.258688669,Borys Lang,,
38,0.276629341,0.420040764,0.149210538,0.154119357,Borys Lang,,
39,0.163879941,0.586392014,0.121000539,0.128727505,Borys Lang,,
40,0.227032093,0.05473661,0.445702499,0.272528799,moonmoth,,
41,0.482057713,0.245914753,0.129005506,0.143022029,Attack Helicopter,,
42,0.275060956,0.167656866,0.404005554,0.153276625,manymagpie,,
43,0.201199761,0.380921147,0.33846978,0.079409312,manymagpie,,
44,0.438340157,0.110440356,0.13423458,0.316984907,Attack Helicopter,,
45,0.314011761,0.072896334,0.086516332,0.526575573,Attack Helicopter,,
46,0.096350771,0.616683551,0.197037583,0.089928096,Borys Lang,,
47,0.430152018,0.127378992,0.336634923,0.105834067,Attack Helicopter,,
48,0.159718717,0.073543035,0.434615318,0.332122931,manymagpie,,
49,0.265795576,0.038586128,0.229805879,0.465812417,Attack Helicopter,,
50,0.162438947,0.535776905,0.125804497,0.17597965,Borys Lang,,
51,0.17562686,0.281609927,0.129441489,0.413321725,moonmoth,,
52,0.079045112,0.053269384,0.022681605,0.845003899,Attack Helicopter,,
53,0.216389205,0.362638607,0.193903762,0.227068427,Borys Lang,,
54,0.642613237,0.023220307,0.05317578,0.280990676,manymagpie,,
55,0.138801169,0.241444545,0.477715196,0.14203909,manymagpie,,
56,0.352582173,0.151196488,0.402005716,0.094215623,Attack Helicopter,,
57,0.461196882,0.155961005,0.094083436,0.288758676,Attack Helicopter,,
58,0.132575199,0.433272065,0.202599765,0.231552971,Borys Lang,,
